analysis_type,representation,retained_PCs,cumulative_variance,method,K,silhouette,calinski_harabasz,davies_bouldin,cluster_size_min,cluster_size_max,ARI,NMI,purity
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,Hierarchical-Ward,9,0.07840116886274275,5.918134183908152,1.587659535970714,1,21,0.0003835945560580683,0.13426215156674373,0.7432432432432432
Secondary PCA-reduced sensitivity analysis,Physicochemical,16,0.9501122523350067,Hierarchical-Ward,10,0.08435407831833902,5.986018020738815,1.4547965300000227,1,21,0.0017500364590928978,0.13846114609154084,0.7432432432432432
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,K-Means,2,0.27154117822647095,16.189744298139466,1.746830774320528,15,59,0.12868202291607156,0.09351921067510917,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,K-Means,3,0.16107520461082458,12.534897933403553,2.1488819066553155,15,42,0.10420191494270553,0.12266054014321444,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,K-Means,4,0.17223426699638367,11.65760952932992,1.9504939989823598,7,39,0.20781755328011672,0.23982057170972473,0.8108108108108109
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,K-Means,5,0.11749820411205292,10.761887647877922,1.8502672989384394,8,26,0.06939501055982307,0.20286969526124615,0.7702702702702703
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,K-Means,6,0.1278955489397049,9.843389044064514,1.8483950051784042,7,24,0.08947453886987401,0.21826371282521312,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,K-Means,7,0.12902122735977173,9.291845787972832,1.7130429417370199,4,23,0.08951732334240847,0.2870195672425863,0.8378378378378378
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,K-Means,8,0.13731232285499573,9.038244988193801,1.5166244918210876,1,24,0.09899453106082147,0.28687789294708826,0.8378378378378378
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,K-Means,9,0.141267329454422,8.721168721104032,1.3879972377421117,1,24,0.1055399935174215,0.2783625162715209,0.8378378378378378
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,K-Means,10,0.14051832258701324,8.231350615220173,1.492200354116914,1,23,0.06941954007624672,0.2564917895162537,0.8378378378378378
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,Hierarchical-Ward,2,0.23557168245315552,15.20784468981968,1.9334896852858454,19,55,0.2849900092113654,0.22369481037221348,0.7702702702702703
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,Hierarchical-Ward,3,0.194027379155159,12.173023326674445,1.8034591413985321,8,55,0.29947696354800263,0.21908474601307187,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,Hierarchical-Ward,4,0.16453714668750763,11.468963636824537,2.0046217065390626,8,38,0.19010579664105362,0.22458094886633528,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,Hierarchical-Ward,5,0.08736078441143036,10.397368785434775,1.91171861471502,8,19,0.09679822161336267,0.23217063146587236,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,Hierarchical-Ward,6,0.10267822444438934,9.627839312631814,1.8568524273006288,7,19,0.09351153996282412,0.24549059742908302,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,Hierarchical-Ward,7,0.10831984877586365,9.198125678384699,1.7436216136306533,3,19,0.10499921045309966,0.2952340662849409,0.8378378378378378
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,Hierarchical-Ward,8,0.11205648630857468,8.937514859242683,1.576634903064932,1,19,0.10317011974338557,0.29357292185988787,0.8378378378378378
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,Hierarchical-Ward,9,0.12534502148628235,8.781400417756736,1.5302537363850068,1,19,0.06897045693636515,0.28071380454267214,0.8378378378378378
Secondary PCA-reduced sensitivity analysis,ProtBERT,36,0.9511402249336243,Hierarchical-Ward,10,0.13145087659358978,8.594562225726577,1.3780940168460236,1,19,0.06548526864808006,0.27676042112989724,0.8378378378378378
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,K-Means,2,0.1441981227525059,8.684870047329031,2.2325289611430708,15,59,0.12868202291607156,0.09351921067510917,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,K-Means,3,0.1188142668310646,8.779532862803459,2.2907040384390283,16,38,0.1260271087660461,0.1816006235152864,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,K-Means,4,0.1107401956726054,7.743668309774315,2.138025231042344,7,33,0.04456277699588209,0.16908839965323677,0.7297297297297297
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,K-Means,5,0.07958666042088063,7.242514187596635,2.1524550752847023,7,22,0.07087191851297132,0.18897142587670673,0.7702702702702703
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,K-Means,6,0.10521861102217178,6.700164413136335,2.0484344855115775,6,29,0.0436961360710915,0.13156577120382834,0.7702702702702703
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,K-Means,7,0.08741983139596084,6.193972188490231,2.0880304214822814,4,20,0.06785037188274756,0.2367952542962515,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,K-Means,8,0.0929179727215418,5.888820685420923,1.8380455423615423,1,19,0.035897875878505424,0.17312198203273202,0.7567567567567568
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,K-Means,9,0.09658027235021578,5.636170457270462,1.744017218544178,1,20,0.05552505603558303,0.21037355198275667,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,K-Means,10,0.09499837175866048,5.398273656232837,1.890198945103678,1,18,0.03144187785699235,0.1678436051904852,0.7837837837837838
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,Hierarchical-Ward,2,0.12000016465011873,8.369545329014416,2.4662369664656647,19,55,0.2849900092113654,0.22369481037221342,0.7702702702702703
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,Hierarchical-Ward,3,0.11469000221382163,8.162275111240197,2.370424539673619,17,38,0.2113109375810006,0.2819541222210477,0.7702702702702703
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,Hierarchical-Ward,4,0.10065506241496759,7.300773108854941,2.2165720399377573,8,38,0.2255032705640845,0.2731871232031565,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,Hierarchical-Ward,5,0.07214825559592981,6.97702843555906,2.183868722408829,8,20,0.10558482751786905,0.26362543627412,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,Hierarchical-Ward,6,0.08208564134370387,6.610550802446633,2.1357172514776246,6,20,0.10459816013320575,0.24791216287932405,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,Hierarchical-Ward,7,0.08732749931214541,6.357516442342136,2.076180125954738,5,20,0.06646494768823812,0.23414283996845944,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,Hierarchical-Ward,8,0.0906027191848225,6.098579584498061,1.861144774145069,1,20,0.064681443032957,0.23357342885980584,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,Hierarchical-Ward,9,0.09474325574678646,5.838932306828438,1.6854217608559936,1,20,0.06235354308907795,0.23061195840438237,0.7972972972972973
Secondary PCA-reduced sensitivity analysis,Combined_Equal_Block,33,0.9507133158453329,Hierarchical-Ward,10,0.0937250060857401,5.638836281447812,1.5692817126444445,1,20,0.06057647134685004,0.23011811159571982,0.7972972972972973
