representation,method,K,silhouette,calinski_harabasz,davies_bouldin,cluster_size_min,cluster_size_max,cluster_size_vector,cluster_balance_warning
Combined_Equal_Block,Hierarchical_Ward,7,0.0792614328482011,5.964480520941497,2.151711348208264,5,19,"[6, 5, 11, 19, 8, 10, 15]",NONE
Combined_Equal_Block,Hierarchical_Ward,8,0.0824828604623013,5.669232478298204,1.920208944673172,1,19,"[5, 5, 11, 19, 8, 10, 15, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Ward,9,0.0865143298950779,5.420082525060163,1.7361280383359576,1,19,"[11, 5, 10, 19, 8, 4, 15, 1, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Ward,10,0.0854432738703533,5.218563887862896,1.6197682136165945,1,19,"[10, 5, 15, 19, 8, 4, 10, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,2,0.2890055726823812,2.877334538560026,0.5619816571237518,1,73,"[73, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,3,0.2229180666816992,2.7598903844320577,0.582479248062631,1,72,"[72, 1, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,4,0.210749680458848,3.09835331591232,0.972893079404055,1,70,"[2, 70, 1, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,5,0.2001893493388889,2.7693010949981978,0.5815734668676787,1,70,"[70, 1, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,6,0.1706006329599367,2.729224443561566,0.588674125075397,1,69,"[69, 1, 1, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,7,0.1479983590368667,2.673723378057809,0.5982851879398853,1,68,"[68, 1, 1, 1, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,8,0.1115824448126752,2.610749995271456,0.6094783575180311,1,67,"[67, 1, 1, 1, 1, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,9,0.0956432070757128,2.765369570881287,0.7261338986651104,1,65,"[65, 2, 1, 1, 1, 1, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Average,10,0.095331331030327,3.0300439959215986,0.8146941662808723,1,62,"[62, 3, 1, 1, 2, 1, 1, 1, 1, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Complete,2,0.1376265147316699,5.665883787674306,2.260682989016201,9,65,"[65, 9]",NONE
Combined_Equal_Block,Hierarchical_Complete,3,0.1313300760270324,4.197527450262571,1.7049784927388616,1,64,"[64, 9, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Complete,4,0.1446796192807483,5.354076480257803,1.6433495671590128,1,58,"[9, 58, 1, 6]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Complete,5,0.1272156364500452,4.710638091023622,1.419860834595417,1,58,"[58, 8, 1, 6, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Complete,6,0.1270412001605689,4.56216756516713,1.4112336715992313,1,56,"[56, 8, 2, 6, 1, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Complete,7,0.112253582816896,4.668630817027855,1.4808149565551614,1,50,"[8, 50, 2, 6, 1, 1, 6]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Complete,8,0.1059621735721525,4.386719045563,1.3461603758900924,1,50,"[50, 6, 2, 7, 1, 1, 6, 1]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Complete,9,0.0806299594407116,4.462685930910892,1.569449143297423,1,41,"[2, 6, 41, 7, 1, 1, 6, 1, 9]",SINGLETON_DOMINATED
Combined_Equal_Block,Hierarchical_Complete,10,0.0801720764751673,4.27945328713629,1.3649658867431969,1,41,"[6, 7, 41, 9, 1, 1, 6, 1, 1, 1]",SINGLETON_DOMINATED
