representation,model,weighting,seed,repeat,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,precision_IE,recall_IE,f1_IE,precision_Early,recall_Early,f1_Early,precision_Late,recall_Late,f1_Late
ProtBERT,Logistic_Regression,Unweighted,2026,5,2,0.8666666666666667,0.6363636363636364,0.5530303030303031,0.6363636363636364,0.5887445887445887,0.8380952380952381,0.6816892205569908,0.0,0.0,0.0,0.75,1.0,0.8571428571428571,0.9090909090909091,0.9090909090909091,0.9090909090909091
ProtBERT,Logistic_Regression,Unweighted,2026,5,3,0.8,0.4444444444444444,0.5952380952380952,0.4444444444444444,0.45999999999999996,0.7453333333333333,0.44831667596163405,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.7857142857142857,1.0,0.88
ProtBERT,Logistic_Regression,Unweighted,2026,5,4,0.8666666666666667,0.5555555555555555,0.6153846153846154,0.5555555555555555,0.5722222222222223,0.8322222222222222,0.6579490028442165,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,0.8461538461538461,1.0,0.9166666666666666
ProtBERT,Logistic_Regression,Unweighted,2026,5,5,0.7142857142857143,0.3333333333333333,0.2380952380952381,0.3333333333333333,0.2777777777777778,0.5952380952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.8333333333333334
ProtBERT,Logistic_Regression,Class_Balanced,42,1,1,0.6,0.4343434343434343,0.5925925925925926,0.4343434343434343,0.5,0.6733333333333333,0.2408233417864861,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.7
ProtBERT,Logistic_Regression,Class_Balanced,42,1,2,0.7333333333333333,0.494949494949495,0.6060606060606061,0.494949494949495,0.5393939393939394,0.76,0.37896836447993354,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,0.8181818181818182,0.8181818181818182,0.8181818181818182
ProtBERT,Logistic_Regression,Class_Balanced,42,1,3,0.7333333333333333,0.8787878787878788,0.8095238095238096,0.8787878787878788,0.7925925925925926,0.757037037037037,0.6064496310619684,1.0,1.0,1.0,0.42857142857142855,1.0,0.6,1.0,0.6363636363636364,0.7777777777777778
ProtBERT,Logistic_Regression,Class_Balanced,42,1,4,0.6666666666666666,0.6868686868686869,0.5444444444444444,0.6868686868686869,0.5539682539682539,0.6720634920634919,0.30212645553936207,0.3333333333333333,1.0,0.5,0.5,0.3333333333333333,0.4,0.8,0.7272727272727273,0.7619047619047619
ProtBERT,Logistic_Regression,Class_Balanced,42,1,5,0.7857142857142857,0.5222222222222223,0.6060606060606061,0.5222222222222223,0.5523809523809523,0.7836734693877551,0.476873817559482,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,0.8181818181818182,0.9,0.8571428571428571
ProtBERT,Logistic_Regression,Class_Balanced,123,2,1,0.6666666666666666,0.30303030303030304,0.2380952380952381,0.30303030303030304,0.26666666666666666,0.5866666666666667,-0.13644420572745383,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.9090909090909091,0.8
ProtBERT,Logistic_Regression,Class_Balanced,123,2,2,0.9333333333333333,0.9696969696969697,0.8333333333333334,0.9696969696969697,0.8730158730158729,0.9428571428571428,0.8673953078388137,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.9090909090909091,0.9523809523809523
