representation,model,weighting,precision_IE_mean,precision_IE_std,recall_IE_mean,recall_IE_std,f1_IE_mean,f1_IE_std,precision_Early_mean,precision_Early_std,recall_Early_mean,recall_Early_std,f1_Early_mean,f1_Early_std,precision_Late_mean,precision_Late_std,recall_Late_mean,recall_Late_std,f1_Late_mean,f1_Late_std
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,0.0133333333333333,0.0666666666666666,0.04,0.2,0.02,0.1,0.6976190476190476,0.2815083952005786,0.6933333333333332,0.3030707043774635,0.648,0.2347218163395973,0.8327424797424797,0.0670507365582247,0.8072727272727274,0.1327812260618584,0.8131240294411919,0.0781773575561213
Combined_Feature_Standardized,Logistic_Regression,Unweighted,0.0133333333333333,0.0666666666666666,0.04,0.2,0.02,0.1,0.7209523809523809,0.2905322935672421,0.6266666666666666,0.2937623125867175,0.6207619047619047,0.2298528892967521,0.8221379731379731,0.0635024994630963,0.8403636363636364,0.1302434677116004,0.8238241235499817,0.0693495089164795
Combined_Feature_Standardized,Random_Forest,Class_Balanced,0.04,0.1384437310486345,0.08,0.2768874620972691,0.0533333333333333,0.1845916413981794,0.7926666666666666,0.2041853732926692,0.7199999999999999,0.2293307493394477,0.728190476190476,0.1794787531350397,0.8461869241869243,0.0628860054942722,0.8810909090909089,0.0931881003056049,0.860179107848673,0.0604726724696994
Combined_Feature_Standardized,Random_Forest,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.5826666666666667,0.4120713260805436,0.44,0.3294214906749687,0.474095238095238,0.3268880271789182,0.796882672882673,0.0577361738496335,0.9476363636363636,0.0737746550281186,0.8627782694803288,0.0421078795139263
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,0.0533333333333333,0.2081665999466132,0.08,0.2768874620972691,0.06,0.2198484326378819,0.6365714285714286,0.3151097602387657,0.6666666666666665,0.3042903097250923,0.6246666666666667,0.2791786219391552,0.8242043512043512,0.0768018174787003,0.7996363636363637,0.1480934854771517,0.8056400685508238,0.0993985676528406
Combined_Feature_Standardized,SVM_Linear,Unweighted,0.0533333333333333,0.2081665999466132,0.08,0.2768874620972691,0.06,0.2198484326378819,0.6365714285714286,0.3151097602387657,0.6666666666666665,0.3042903097250923,0.6246666666666667,0.2791786219391552,0.8242043512043512,0.0768018174787003,0.7996363636363637,0.1480934854771517,0.8056400685508238,0.0993985676528406
Combined_Feature_Standardized,SVM_RBF,Class_Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.8126666666666666,0.229092412212481,0.6533333333333333,0.2449489742783178,0.6909523809523809,0.1999574784729966,0.8285048285048284,0.0563503525670262,0.9069090909090908,0.1025931009016545,0.8633338603425558,0.0674288328108099
Combined_Feature_Standardized,SVM_RBF,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.2379075450674064,0.0799999999999999,0.1990719207463213,0.076,0.1786057109949175,0.7344371184371186,0.0231179226335879,0.954909090909091,0.0828836351139172,0.8278829850546099,0.0318206176102101
Combined_Feature_Standardized,XGBoost,Class_Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.6233333333333333,0.371994125799897,0.4933333333333333,0.334995854037363,0.5169523809523809,0.3030958927161598,0.7965805305805307,0.062439067731389,0.885090909090909,0.1030485723552869,0.8337126573341408,0.0572250794378286
Combined_Feature_Standardized,XGBoost,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.5426666666666666,0.438618411732922,0.3466666666666666,0.3115076837528041,0.3963809523809524,0.3216380269933319,0.7757178377178378,0.0593821138255111,0.9330909090909092,0.08413716991248,0.8447243987134148,0.0550278219747424
Physicochemical,Logistic_Regression,Class_Balanced,0.5333333333333333,0.408248290463863,0.72,0.458257569495584,0.5933333333333333,0.4084750321033732,0.2644761904761905,0.1792169812809061,0.4133333333333333,0.2768874620972691,0.3173333333333333,0.2075804840162466,0.777037518037518,0.0985394992905004,0.6261818181818182,0.1194085516362071,0.6885815251140329,0.0976749585829468
Physicochemical,Logistic_Regression,Unweighted,0.34,0.45,0.4,0.5,0.36,0.4606758320361751,0.264,0.3101179584418615,0.2533333333333333,0.2768874620972691,0.2423809523809523,0.2564649721404391,0.7692152292152292,0.0798688711043483,0.8076363636363637,0.1270745209878735,0.7843065846434268,0.0887934707709955
Physicochemical,Random_Forest,Class_Balanced,0.3966666666666666,0.4005782856857857,0.6,0.5,0.4559999999999999,0.4147422224841728,0.4740952380952381,0.2588013462296509,0.56,0.2301368353023108,0.4961010101010101,0.2207090818900133,0.8208467088467089,0.0831638520406695,0.732,0.1442927083221156,0.7677324948424693,0.1058973735042577
Physicochemical,Random_Forest,Unweighted,0.04,0.2,0.04,0.2,0.04,0.2,0.2199999999999999,0.359139919086533,0.12,0.1895413567692442,0.148,0.2271155685581274,0.7421684981684982,0.0328389299860103,0.9552727272727272,0.0543506622807682,0.8344209182122226,0.0309579893812487
Physicochemical,SVM_Linear,Class_Balanced,0.52,0.3578485092263981,0.8,0.408248290463863,0.6066666666666666,0.3531603350069515,0.2419047619047619,0.1733236849747969,0.4533333333333333,0.3316624790355399,0.3081962481962482,0.2116932892634326,0.777976911976912,0.1210125807132428,0.5487272727272727,0.1166237622801402,0.6336372392657222,0.0897618025632591
