representation,model,weighting,true_class,predicted_class,raw_count,row_normalized,total_samples
ProtBERT,XGBoost,Class_Balanced,Early,Immediate-Early,0,0.0,370
ProtBERT,XGBoost,Class_Balanced,Early,Early,40,0.5333333333333333,370
ProtBERT,XGBoost,Class_Balanced,Early,Late,35,0.4666666666666667,370
ProtBERT,XGBoost,Class_Balanced,Late,Immediate-Early,12,0.044444444444444446,370
ProtBERT,XGBoost,Class_Balanced,Late,Early,15,0.05555555555555555,370
ProtBERT,XGBoost,Class_Balanced,Late,Late,243,0.9,370
Combined_Feature_Standardized,Logistic_Regression,Unweighted,Immediate-Early,Immediate-Early,1,0.04,370
Combined_Feature_Standardized,Logistic_Regression,Unweighted,Immediate-Early,Early,0,0.0,370
Combined_Feature_Standardized,Logistic_Regression,Unweighted,Immediate-Early,Late,24,0.96,370
Combined_Feature_Standardized,Logistic_Regression,Unweighted,Early,Immediate-Early,1,0.013333333333333334,370
Combined_Feature_Standardized,Logistic_Regression,Unweighted,Early,Early,47,0.6266666666666667,370
Combined_Feature_Standardized,Logistic_Regression,Unweighted,Early,Late,27,0.36,370
Combined_Feature_Standardized,Logistic_Regression,Unweighted,Late,Immediate-Early,18,0.06666666666666667,370
Combined_Feature_Standardized,Logistic_Regression,Unweighted,Late,Early,25,0.09259259259259259,370
Combined_Feature_Standardized,Logistic_Regression,Unweighted,Late,Late,227,0.8407407407407408,370
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,Immediate-Early,Immediate-Early,1,0.04,370
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,Immediate-Early,Early,0,0.0,370
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,Immediate-Early,Late,24,0.96,370
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,Early,Immediate-Early,2,0.02666666666666667,370
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,Early,Early,52,0.6933333333333334,370
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,Early,Late,21,0.28,370
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,Late,Immediate-Early,23,0.08518518518518518,370
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,Late,Early,29,0.10740740740740741,370
Combined_Feature_Standardized,Logistic_Regression,Class_Balanced,Late,Late,218,0.8074074074074075,370
Combined_Feature_Standardized,SVM_Linear,Unweighted,Immediate-Early,Immediate-Early,2,0.08,370
Combined_Feature_Standardized,SVM_Linear,Unweighted,Immediate-Early,Early,0,0.0,370
Combined_Feature_Standardized,SVM_Linear,Unweighted,Immediate-Early,Late,23,0.92,370
Combined_Feature_Standardized,SVM_Linear,Unweighted,Early,Immediate-Early,2,0.02666666666666667,370
Combined_Feature_Standardized,SVM_Linear,Unweighted,Early,Early,50,0.6666666666666666,370
Combined_Feature_Standardized,SVM_Linear,Unweighted,Early,Late,23,0.30666666666666664,370
Combined_Feature_Standardized,SVM_Linear,Unweighted,Late,Immediate-Early,23,0.08518518518518518,370
Combined_Feature_Standardized,SVM_Linear,Unweighted,Late,Early,31,0.11481481481481481,370
Combined_Feature_Standardized,SVM_Linear,Unweighted,Late,Late,216,0.8,370
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,Immediate-Early,Immediate-Early,2,0.08,370
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,Immediate-Early,Early,0,0.0,370
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,Immediate-Early,Late,23,0.92,370
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,Early,Immediate-Early,2,0.02666666666666667,370
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,Early,Early,50,0.6666666666666666,370
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,Early,Late,23,0.30666666666666664,370
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,Late,Immediate-Early,23,0.08518518518518518,370
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,Late,Early,31,0.11481481481481481,370
Combined_Feature_Standardized,SVM_Linear,Class_Balanced,Late,Late,216,0.8,370
Combined_Feature_Standardized,SVM_RBF,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,SVM_RBF,Unweighted,Immediate-Early,Early,0,0.0,370
Combined_Feature_Standardized,SVM_RBF,Unweighted,Immediate-Early,Late,25,1.0,370
Combined_Feature_Standardized,SVM_RBF,Unweighted,Early,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,SVM_RBF,Unweighted,Early,Early,6,0.08,370
Combined_Feature_Standardized,SVM_RBF,Unweighted,Early,Late,69,0.92,370
Combined_Feature_Standardized,SVM_RBF,Unweighted,Late,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,SVM_RBF,Unweighted,Late,Early,12,0.044444444444444446,370
Combined_Feature_Standardized,SVM_RBF,Unweighted,Late,Late,258,0.9555555555555556,370
Combined_Feature_Standardized,SVM_RBF,Class_Balanced,Immediate-Early,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,SVM_RBF,Class_Balanced,Immediate-Early,Early,0,0.0,370
Combined_Feature_Standardized,SVM_RBF,Class_Balanced,Immediate-Early,Late,25,1.0,370
Combined_Feature_Standardized,SVM_RBF,Class_Balanced,Early,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,SVM_RBF,Class_Balanced,Early,Early,49,0.6533333333333333,370
Combined_Feature_Standardized,SVM_RBF,Class_Balanced,Early,Late,26,0.3466666666666667,370
Combined_Feature_Standardized,SVM_RBF,Class_Balanced,Late,Immediate-Early,9,0.03333333333333333,370
Combined_Feature_Standardized,SVM_RBF,Class_Balanced,Late,Early,16,0.05925925925925926,370
Combined_Feature_Standardized,SVM_RBF,Class_Balanced,Late,Late,245,0.9074074074074074,370
Combined_Feature_Standardized,Random_Forest,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,Random_Forest,Unweighted,Immediate-Early,Early,0,0.0,370
Combined_Feature_Standardized,Random_Forest,Unweighted,Immediate-Early,Late,25,1.0,370
Combined_Feature_Standardized,Random_Forest,Unweighted,Early,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,Random_Forest,Unweighted,Early,Early,33,0.44,370
Combined_Feature_Standardized,Random_Forest,Unweighted,Early,Late,42,0.56,370
Combined_Feature_Standardized,Random_Forest,Unweighted,Late,Immediate-Early,1,0.003703703703703704,370
Combined_Feature_Standardized,Random_Forest,Unweighted,Late,Early,13,0.04814814814814815,370
Combined_Feature_Standardized,Random_Forest,Unweighted,Late,Late,256,0.9481481481481482,370
Combined_Feature_Standardized,Random_Forest,Class_Balanced,Immediate-Early,Immediate-Early,2,0.08,370
Combined_Feature_Standardized,Random_Forest,Class_Balanced,Immediate-Early,Early,0,0.0,370
Combined_Feature_Standardized,Random_Forest,Class_Balanced,Immediate-Early,Late,23,0.92,370
Combined_Feature_Standardized,Random_Forest,Class_Balanced,Early,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,Random_Forest,Class_Balanced,Early,Early,54,0.72,370
Combined_Feature_Standardized,Random_Forest,Class_Balanced,Early,Late,21,0.28,370
Combined_Feature_Standardized,Random_Forest,Class_Balanced,Late,Immediate-Early,14,0.05185185185185185,370
Combined_Feature_Standardized,Random_Forest,Class_Balanced,Late,Early,18,0.06666666666666667,370
Combined_Feature_Standardized,Random_Forest,Class_Balanced,Late,Late,238,0.8814814814814815,370
Combined_Feature_Standardized,XGBoost,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,XGBoost,Unweighted,Immediate-Early,Early,0,0.0,370
Combined_Feature_Standardized,XGBoost,Unweighted,Immediate-Early,Late,25,1.0,370
Combined_Feature_Standardized,XGBoost,Unweighted,Early,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,XGBoost,Unweighted,Early,Early,26,0.3466666666666667,370
Combined_Feature_Standardized,XGBoost,Unweighted,Early,Late,49,0.6533333333333333,370
Combined_Feature_Standardized,XGBoost,Unweighted,Late,Immediate-Early,5,0.018518518518518517,370
Combined_Feature_Standardized,XGBoost,Unweighted,Late,Early,13,0.04814814814814815,370
Combined_Feature_Standardized,XGBoost,Unweighted,Late,Late,252,0.9333333333333333,370
Combined_Feature_Standardized,XGBoost,Class_Balanced,Immediate-Early,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,XGBoost,Class_Balanced,Immediate-Early,Early,0,0.0,370
Combined_Feature_Standardized,XGBoost,Class_Balanced,Immediate-Early,Late,25,1.0,370
Combined_Feature_Standardized,XGBoost,Class_Balanced,Early,Immediate-Early,0,0.0,370
Combined_Feature_Standardized,XGBoost,Class_Balanced,Early,Early,37,0.49333333333333335,370
Combined_Feature_Standardized,XGBoost,Class_Balanced,Early,Late,38,0.5066666666666667,370
Combined_Feature_Standardized,XGBoost,Class_Balanced,Late,Immediate-Early,14,0.05185185185185185,370
Combined_Feature_Standardized,XGBoost,Class_Balanced,Late,Early,17,0.06296296296296296,370
Combined_Feature_Standardized,XGBoost,Class_Balanced,Late,Late,239,0.8851851851851852,370
Combined_Equal_Block,Logistic_Regression,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,Logistic_Regression,Unweighted,Immediate-Early,Early,0,0.0,370
Combined_Equal_Block,Logistic_Regression,Unweighted,Immediate-Early,Late,25,1.0,370
Combined_Equal_Block,Logistic_Regression,Unweighted,Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,Logistic_Regression,Unweighted,Early,Early,22,0.29333333333333333,370
Combined_Equal_Block,Logistic_Regression,Unweighted,Early,Late,53,0.7066666666666667,370
Combined_Equal_Block,Logistic_Regression,Unweighted,Late,Immediate-Early,2,0.007407407407407408,370
Combined_Equal_Block,Logistic_Regression,Unweighted,Late,Early,14,0.05185185185185185,370
Combined_Equal_Block,Logistic_Regression,Unweighted,Late,Late,254,0.9407407407407408,370
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Immediate-Early,Immediate-Early,20,0.8,370
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Immediate-Early,Early,0,0.0,370
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Immediate-Early,Late,5,0.2,370
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Early,Early,52,0.6933333333333334,370
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Early,Late,23,0.30666666666666664,370
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Late,Immediate-Early,27,0.1,370
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Late,Early,32,0.11851851851851852,370
Combined_Equal_Block,Logistic_Regression,Class_Balanced,Late,Late,211,0.7814814814814814,370
Combined_Equal_Block,SVM_Linear,Unweighted,Immediate-Early,Immediate-Early,1,0.04,370
Combined_Equal_Block,SVM_Linear,Unweighted,Immediate-Early,Early,0,0.0,370
Combined_Equal_Block,SVM_Linear,Unweighted,Immediate-Early,Late,24,0.96,370
Combined_Equal_Block,SVM_Linear,Unweighted,Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,SVM_Linear,Unweighted,Early,Early,33,0.44,370
Combined_Equal_Block,SVM_Linear,Unweighted,Early,Late,42,0.56,370
