representation,method,K,silhouette,CH,DB,ARI,NMI,purity,stability_ARI_mean,stability_ARI_SD,cluster_size_min,cluster_size_max,cluster_balance_warning
Physicochemical,Hierarchical_Complete,2,0.1072176124716414,7.322128709846172,2.68457528223108,0.1192229671069627,0.1448816925450986,0.7297297297297297,1.0,0.0,20,54,NONE
Physicochemical,Hierarchical_Complete,3,0.1014480880152085,5.9825037488806245,2.049249230688031,0.127266760423407,0.1465458839416819,0.7297297297297297,1.0,0.0,2,54,SMALL_CLUSTER
Physicochemical,Hierarchical_Complete,4,0.104711444328997,5.508460997307655,1.8681238955758437,0.0950794831337276,0.1445351384930571,0.7297297297297297,1.0,0.0,2,52,SMALL_CLUSTER
Physicochemical,Hierarchical_Complete,5,0.1113237566044889,5.276728608436996,1.565663484377339,0.0799045295381096,0.1429736074580606,0.7297297297297297,1.0,0.0,1,51,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Complete,6,0.0522634391184022,5.449039241290921,1.909524468778171,0.0708639159025895,0.1349316899532697,0.7297297297297297,1.0,0.0,1,33,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Complete,7,0.0591771990034401,5.478348076547811,1.8171593049899293,0.0710766248975107,0.1430825402570222,0.7297297297297297,1.0,0.0,1,33,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Complete,8,0.0601664719304985,5.24817578382081,1.5364009272589536,0.0704712576321808,0.1418301685414809,0.7297297297297297,1.0,0.0,1,33,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Complete,9,0.0613770899384827,5.115665208748191,1.4104899386143834,0.0581356301872474,0.1399793641439544,0.7297297297297297,1.0,0.0,1,32,SINGLETON_DOMINATED
Physicochemical,Hierarchical_Complete,10,0.0675648297579868,5.292088194759098,1.4586401534676674,-8.910553896643112e-05,0.1235519814681622,0.7297297297297297,1.0,0.0,1,18,SINGLETON_DOMINATED
ProtBERT,K-Means,2,0.5237074494361877,77.04849797447885,0.8163537406591973,0.1894716492242526,0.1333144850301321,0.7432432432432432,1.0,0.0,15,59,NONE
