representation,K,seed_1,seed_2,assignment_ARI
Combined_Feature_Standardized,3,123,456,1.0
Combined_Feature_Standardized,3,123,789,1.0
Combined_Feature_Standardized,3,123,2026,0.9553969116251949
Combined_Feature_Standardized,3,456,789,1.0
Combined_Feature_Standardized,3,456,2026,0.9553969116251949
Combined_Feature_Standardized,3,789,2026,0.9553969116251949
Combined_Feature_Standardized,4,42,123,0.985358088076741
Combined_Feature_Standardized,4,42,456,0.9417711543367423
Combined_Feature_Standardized,4,42,789,0.9258110590162917
Combined_Feature_Standardized,4,42,2026,0.985358088076741
Combined_Feature_Standardized,4,123,456,0.956288315979007
Combined_Feature_Standardized,4,123,789,0.9402734332511377
Combined_Feature_Standardized,4,123,2026,1.0
Combined_Feature_Standardized,4,456,789,0.8972352975446665
Combined_Feature_Standardized,4,456,2026,0.956288315979007
Combined_Feature_Standardized,4,789,2026,0.9402734332511377
Combined_Feature_Standardized,5,42,123,0.8633806118860626
Combined_Feature_Standardized,5,42,456,0.8633806118860626
Combined_Feature_Standardized,5,42,789,0.9386788939521697
Combined_Feature_Standardized,5,42,2026,0.8223765474893533
Combined_Feature_Standardized,5,123,456,1.0
Combined_Feature_Standardized,5,123,789,0.8558793381168546
Combined_Feature_Standardized,5,123,2026,0.8879245063202656
Combined_Feature_Standardized,5,456,789,0.8558793381168546
Combined_Feature_Standardized,5,456,2026,0.8879245063202656
Combined_Feature_Standardized,5,789,2026,0.8149955320007333
Combined_Feature_Standardized,6,42,123,0.7778809258571605
Combined_Feature_Standardized,6,42,456,0.906571706053739
Combined_Feature_Standardized,6,42,789,0.8359678356315162
Combined_Feature_Standardized,6,42,2026,0.8052570930268772
Combined_Feature_Standardized,6,123,456,0.779316868386274
Combined_Feature_Standardized,6,123,789,0.7716412701452868
Combined_Feature_Standardized,6,123,2026,0.8647175451476989
Combined_Feature_Standardized,6,456,789,0.8459861126661259
Combined_Feature_Standardized,6,456,2026,0.8340126476645136
Combined_Feature_Standardized,6,789,2026,0.8520103747763049
Combined_Feature_Standardized,7,42,123,0.6533317956363508
Combined_Feature_Standardized,7,42,456,0.7226559925243937
Combined_Feature_Standardized,7,42,789,0.7764241290698204
Combined_Feature_Standardized,7,42,2026,0.7969397680264222
Combined_Feature_Standardized,7,123,456,0.8365770051951275
Combined_Feature_Standardized,7,123,789,0.7884277057992023
Combined_Feature_Standardized,7,123,2026,0.5569319827646589
Combined_Feature_Standardized,7,456,789,0.8600911051670516
Combined_Feature_Standardized,7,456,2026,0.5965046847358421
Combined_Feature_Standardized,7,789,2026,0.6887538721900497
Combined_Feature_Standardized,8,42,123,0.6770992132960292
Combined_Feature_Standardized,8,42,456,0.7675361535985271
Combined_Feature_Standardized,8,42,789,0.7511312052890797
Combined_Feature_Standardized,8,42,2026,0.7648782056349713
Combined_Feature_Standardized,8,123,456,0.7929265319191475
Combined_Feature_Standardized,8,123,789,0.7726455844468972
Combined_Feature_Standardized,8,123,2026,0.731723776866424
Combined_Feature_Standardized,8,456,789,0.844197960560406
Combined_Feature_Standardized,8,456,2026,0.7877117511750127
Combined_Feature_Standardized,8,789,2026,0.7875760494863208
Combined_Feature_Standardized,9,42,123,0.7015331747051082
Combined_Feature_Standardized,9,42,456,0.7283131669035365
Combined_Feature_Standardized,9,42,789,0.8085159756343627
Combined_Feature_Standardized,9,42,2026,0.8944030498305544
Combined_Feature_Standardized,9,123,456,0.8727696385976734
Combined_Feature_Standardized,9,123,789,0.6881872851245846
Combined_Feature_Standardized,9,123,2026,0.6898456033220433
Combined_Feature_Standardized,9,456,789,0.7432476796478337
Combined_Feature_Standardized,9,456,2026,0.6827612524286454
Combined_Feature_Standardized,9,789,2026,0.7575463948439337
Combined_Feature_Standardized,10,42,123,0.7640849267546816
Combined_Feature_Standardized,10,42,456,0.7338326229952452
Combined_Feature_Standardized,10,42,789,0.7225512326232868
Combined_Feature_Standardized,10,42,2026,0.691877033374211
Combined_Feature_Standardized,10,123,456,0.6398934226769919
Combined_Feature_Standardized,10,123,789,0.6084072725716411
Combined_Feature_Standardized,10,123,2026,0.7624086657314282
Combined_Feature_Standardized,10,456,789,0.6341045730985722
Combined_Feature_Standardized,10,456,2026,0.5956178864699315
Combined_Feature_Standardized,10,789,2026,0.6974107606052302
Combined_Equal_Block,2,42,123,1.0
Combined_Equal_Block,2,42,456,1.0
Combined_Equal_Block,2,42,789,1.0
Combined_Equal_Block,2,42,2026,1.0
Combined_Equal_Block,2,123,456,1.0
Combined_Equal_Block,2,123,789,1.0
Combined_Equal_Block,2,123,2026,1.0
Combined_Equal_Block,2,456,789,1.0
Combined_Equal_Block,2,456,2026,1.0
Combined_Equal_Block,2,789,2026,1.0
Combined_Equal_Block,3,42,123,0.9129240860557989
Combined_Equal_Block,3,42,456,0.957379912513416
Combined_Equal_Block,3,42,789,0.9129240860557989
Combined_Equal_Block,3,42,2026,0.9129240860557989
Combined_Equal_Block,3,123,456,0.9554805067270682
Combined_Equal_Block,3,123,789,1.0
Combined_Equal_Block,3,123,2026,1.0
Combined_Equal_Block,3,456,789,0.9554805067270682
Combined_Equal_Block,3,456,2026,0.9554805067270682
Combined_Equal_Block,3,789,2026,1.0
Combined_Equal_Block,4,42,123,0.4904667265374662
Combined_Equal_Block,4,42,456,0.8729962784445704
Combined_Equal_Block,4,42,789,0.48467973084895283
Combined_Equal_Block,4,42,2026,0.4246830718542066
Combined_Equal_Block,4,123,456,0.4776063674043909
Combined_Equal_Block,4,123,789,0.5410642958556797
Combined_Equal_Block,4,123,2026,0.5369252020959759
Combined_Equal_Block,4,456,789,0.5287674617177764
Combined_Equal_Block,4,456,2026,0.468602606590758
Combined_Equal_Block,4,789,2026,0.8352892190773448
Combined_Equal_Block,5,42,123,0.4932591185229353
Combined_Equal_Block,5,42,456,0.5054441483897052
Combined_Equal_Block,5,42,789,0.5528713653037576
Combined_Equal_Block,5,42,2026,0.318799036419934
Combined_Equal_Block,5,123,456,0.7833409091376541
Combined_Equal_Block,5,123,789,0.5755930078119198
Combined_Equal_Block,5,123,2026,0.5730855093444815
Combined_Equal_Block,5,456,789,0.7117007704151874
Combined_Equal_Block,5,456,2026,0.5248463480520246
Combined_Equal_Block,5,789,2026,0.4424542825095936
Combined_Equal_Block,6,42,123,0.5236159224319606
Combined_Equal_Block,6,42,456,0.7360504948093444
Combined_Equal_Block,6,42,789,0.5410263053064681
Combined_Equal_Block,6,42,2026,0.41068865335369703
Combined_Equal_Block,6,123,456,0.5852527486026656
Combined_Equal_Block,6,123,789,0.5228392471072967
Combined_Equal_Block,6,123,2026,0.6223823133934316
Combined_Equal_Block,6,456,789,0.584779444617751
Combined_Equal_Block,6,456,2026,0.43466111498179855
Combined_Equal_Block,6,789,2026,0.4790974890748056
