,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
aa_G,-0.21417811427697,-0.258885783336457,0.5667333744006255,0.3512365868143239,0.32287241478543927,0.11630898814012669,0.18545455990569693,0.03728398024665528,-0.13239501355837666,0.028491427137198475,0.2854861074470646,-0.10156116482196638,0.09102150277294453,0.20966882769749828,0.15316555654253167,-0.2671735177713111,0.0033881734412355524,0.21128434130960846,-0.00421001496092604,-0.02008504029693591,-0.01791386857871417,-0.007328177575478147,4.7711580825802274e-05,4.556038016950748e-17,7.795771726890473e-17
aa_H,0.2555937039141249,-0.30581411339920495,-0.09079474154660666,0.3810198102672613,-0.10195248401693091,0.19851647514825135,-0.37701701315088304,-0.29791535058220553,-0.27179640908731073,0.49336568086671834,-0.14800308440098472,0.0451862343330365,-0.11319062716409323,-0.03151858486712463,0.03676163994903936,-0.08293287088010211,-0.05954032872288481,-0.06543867338650225,0.20105120798732548,-0.008621369005644633,0.09542323460177776,-0.006054658502468815,-4.1195424552101985e-05,2.062571382212773e-17,3.529236500293648e-17
aa_I,0.4910517961140184,-0.11762351280352623,-0.34068860662581923,0.0853556671311228,0.07300360953236562,0.472304982122015,0.21437294276669,0.2921840876237736,0.19258880169349413,-0.1207577200087805,-0.157737122852798,-0.2123204485122514,0.13337810830551697,-0.02342373832478917,0.260375400329264,-0.023431143364748514,-0.06974843280152426,-0.18484411429318415,-0.055477569956736555,-0.11961962034135794,0.10446334565718031,0.0005767520218106832,1.8762478479967193e-05,2.948699012542936e-17,5.045476861160454e-17
aa_K,0.3994712488959483,0.28593812107896044,-0.4696555176658007,0.041819071506809725,-0.29826721280971075,0.136063480772532,0.20152581628606833,0.31688244830359025,-0.1680214027755854,0.20467541197699174,0.08171903959830881,0.3022637440749871,0.21813476304007315,-0.0034388342698060278,0.0774376217554389,0.022966717258118198,-0.046901681731909346,0.08214826879011942,-0.03341153659907393,0.26142752493991994,-0.005653223161043088,-0.028423047471709706,-2.0405449139345644e-05,2.3124248066658513e-17,3.9567571344435236e-17
aa_L,0.5494484654256142,-0.23932548343525592,0.2766167036101971,-0.2991830496961364,0.14621288727953,-0.31750108347406425,0.00819013497683606,0.11497347964144417,-0.03415658841272697,-0.03309340005858385,-0.3606266364267936,0.06872001453744558,-0.2629162417592385,-0.25427439565275983,0.19674983679862154,-0.08836260446715513,-0.1259073985859948,0.0614311857006454,-0.01764248304326148,0.04268720655630707,-0.1168395840607802,0.016845480458828103,-5.172627195612795e-05,5.197171861741356e-17,8.892806712502017e-17
aa_M,0.03050007165054172,-0.1728921574984966,-0.23600634582823193,0.05122037960948984,0.6361597310549533,-0.34577371629345477,0.036926565029286956,-0.33500122503105373,0.07037811108480167,0.09303895772269419,-0.008855163057990573,0.0620838737600091,0.4201061931629612,-0.2244734349468881,-0.13248565958768135,-0.07514598135854454,-0.045147719511966763,-0.08224468272979997,-0.07743259794674912,0.0445260618332271,0.048013093550811986,-0.0009513501161154473,-1.614187690897183e-05,1.872902559284354e-17,3.2046968801769633e-17
aa_N,0.5336628952935852,0.04964934608581917,-0.36836199329903335,0.21457614661793376,-0.035290916148530437,-0.38632144190611295,-0.13792049431509154,-0.19888789789424915,0.07035770623940836,0.06243014184586287,0.09016199329148454,-0.35130979246095134,0.09122731793718379,0.07266789362139985,0.2649907611928787,0.24059867059976633,0.20081691745513644,0.04967465163647884,0.046563004773275865,0.033397099177000115,-0.08603151429079765,-0.007041342384315479,-1.468646717610615e-05,2.0973918886878394e-17,3.588817372728006e-17
aa_P,-0.7661363868483989,-0.01535557079574116,0.04863009707152483,0.22231961004441228,-0.2736382836235583,0.2125030427319419,-0.15433325484162477,-0.19790631954856885,0.00065477719425849,-0.08064121973563872,-0.01361009707483103,-0.252301376266545,-0.005904041444403006,0.010019893481431435,-0.13675810655774945,0.12101128176902877,-0.211854535548051,-0.061995042406011315,-0.13613273826052238,0.11521505116172794,-0.08286484043828257,0.021459205665139206,-1.3195028685663762e-05,7.488618260297978e-17,1.2813667991773917e-16
aa_Q,0.22077524891339123,0.273021160244831,-0.020249235143869237,0.6289547751377905,0.06254611544494589,0.03145465337331364,0.23609149682587804,-0.005747589593631423,0.40542425467369314,-0.2784567455441311,0.04821046956831077,-0.00818706660314539,-0.2506490642868007,-0.23241348022217206,-0.15148748130912956,-0.032376237562075846,0.08742564961879698,0.045502760989859524,0.13690604103924614,0.12090201703613666,0.07435805909932525,-0.0030387773222096365,-3.643192267849096e-05,2.0818615133546588e-17,3.562243568804561e-17
aa_R,-0.715945471604154,0.13374370691080265,-0.1882931679269937,-0.09980728302688717,0.002193138697540471,-0.294761745525371,0.002024442258892354,0.4423761537540945,0.12801481517042276,0.2752087275473566,-0.003032593621834376,-0.09985729294197358,-0.04953896409730722,-0.030402192147507133,-0.1276407389406479,-0.03974181729325429,0.040507030699500464,-0.06021782832348744,0.06754140870288916,-0.10373953194788527,-0.025862689295341034,-0.10300272194408087,5.1754202853769955e-05,5.1201748950771114e-17,8.761058300055903e-17
